Time stamp,IMSI,Cell ID,RNTI,RSRP,SINR,CQI
+21214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+22214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+23214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+24214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+25214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+26214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+27214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+28214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+29214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+30214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+31214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+32214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+33214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+34214285ns,1,1,1,1.4045275531988174e-12,2796.8550756483428,15
+35214285ns,1,1,1,1.4045275531988174e-12,2796.8550756483428,15
+36214285ns,1,1,1,1.4045275531988174e-12,2796.8550756483428,15
+37214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+38214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+39214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+40214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+41214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+42214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+43214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+44214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+45214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+46214285ns,1,1,1,1.4045275531988174e-12,2961.7697161663264,15
+47214285ns,1,1,1,1.4045275531988174e-12,2796.85513538225,15
+48214285ns,1,1,1,1.4045275531988174e-12,2796.9011071920067,15
+49214285ns,1,1,1,1.4045275531988174e-12,2810.7742511179622,15
